name,desc,last_30_d,last_90_d,last_year,build_error
gron,Make JSON greppable,1008,1564,3767,0
groonga,Fulltext search engine and column store,17429,49574,165006,0
groovy,Java-based scripting language,4563,15547,76124,0
groovysdk,SDK for Groovy: a Java-based scripting language,634,2317,11528,0
groovyserv,Speed up Groovy startup time,7,18,83,0
growly,Redirect command output to a growl notification,7,13,64,0
grpc,Next generation open source RPC library and framework,7151,21825,65115,0
grpc-swift,Swift language implementation of gRPC,48,153,603,0
grpcui,"Interactive web UI for gRPC, along the lines of postman",170,392,890,0
grpcurl,"Like cURL, but for gRPC",2729,6701,25518,0
grsync,GUI for rsync,64,185,980,0
grt,Gesture Recognition Toolkit for real-time machine learning,5,19,27,0
grunt-cli,JavaScript Task Runner,567,1529,7019,0
grunt-completion,Bash and Zsh completion for Grunt,22,73,391,0
grv,Terminal interface for viewing git repositories,34,110,373,0
gsar,General Search And Replace on files,16,39,175,0
gsasl,SASL library command-line interface,1325,3065,7519,0
gsettings-desktop-schemas,GSettings schemas for desktop components,13724,45316,253143,0
gsl,Numerical library for C and C++,2758,7837,35324,0
gsmartcontrol,Graphical user interface for smartctl,573,1851,4190,0
gsoap,SOAP stub and skeleton compiler for C and C++,103,239,1106,0
gspell,Flexible API to implement spellchecking in GTK+ applications,4211,8265,32630,0
gssdp,GUPnP library for resource discovery and announcement over SSDP,88,236,1148,0
gssh,SSH automation tool based on Groovy DSL,13,31,118,0
gst-devtools,GStreamer development and validation tools,135,346,591,0
gst-editing-services,GStreamer Editing Services,149,383,1098,0
gst-libav,GStreamer plugins for Libav (a fork of FFmpeg),4330,12960,34146,0
gst-plugins-bad,"GStreamer plugins less supported, not fully tested",5469,15069,47953,0
gst-plugins-base,"GStreamer plugins (well-supported, basic set)",7259,19658,51707,0
gst-plugins-good,"GStreamer plugins (well-supported, under the LGPL)",6501,17697,46967,0
gst-plugins-ugly,Library for constructing graphs of media-handling components,4786,14846,44704,0
gst-python,Python overrides for gobject-introspection-based pygst bindings,502,1438,4612,0
gst-rtsp-server,RTSP server library based on GStreamer,411,1096,2788,0
gstreamer,Development framework for multimedia applications,9210,25411,68475,0
gstreamermm,GStreamer C++ bindings,128,273,602,0
gti,ASCII-art displaying typo-corrector for commands,171,380,1634,0
