name,desc,last_30_d,last_90_d,last_year,build_error
lerna,Tool for managing JavaScript projects with multiple packages,282,775,3098,0
less,Pager program similar to more,849,4386,12630,0
lesspipe,Input filter for the pager less,145,413,2757,0
lesstif,Open source implementation of OSF/Motif,37,179,318,0
leveldb,Key-value storage library with ordered mapping,924,2743,12757,0
lf,Terminal file manager,929,1868,5351,0
lfe,Concurrent Lisp for the Erlang VM,34,59,172,0
lft,"Layer Four Traceroute (LFT), an advanced traceroute tool",29,81,814,0
lftp,Sophisticated file transfer program,2893,13257,41786,0
lgogdownloader,Unofficial downloader for GOG.com games,8,51,208,0
lha,Utility for creating and opening lzh archives,107,334,1137,0
lhasa,LHA implementation to decompress .lzh and .lzs archives,16,37,113,0
lib3ds,Library for managing 3D-Studio Release 3 and 4 '.3DS' files,6,12,39,0
libaacs,Implements the Advanced Access Content System specification,104,327,2168,0
libagg,High fidelity 2D graphics library for C++,78,249,1305,0
libaio,Linux-native asynchronous I/O access library,0,0,4,0
libantlr3c,ANTLRv3 parsing library for C,3,14,71,0
libao,Cross-platform Audio Library,1047,2886,11600,0
libarchive,Multi-format archive and compression library,13735,41436,157095,0
libart,Library for high-performance 2D graphics,75,193,589,0
libass,Subtitle renderer for the ASS/SSA subtitle format,72982,261354,739937,0
libassuan,Assuan IPC Library,45380,150150,401421,0
libatomic_ops,Implementations for atomic memory update operations,5368,12766,15804,0
libav,Audio and video processing tools,1486,7901,29517,0
libb2,Secure hashing function,6445,19923,99321,0
libb64,Base64 encoding/decoding library,14,53,159,0
libbdplus,Implements the BD+ System Specifications,30,70,248,0
libbi,Bayesian state-space modelling on parallel computer hardware,6,16,109,0
libbind,Original resolver library from ISC,0,6,47,0
libbinio,Binary I/O stream class library,20,35,91,0
libbitcoin,Bitcoin Cross-Platform C++ Development Toolkit,104,358,1100,0
libbitcoin-blockchain,Bitcoin Blockchain Library,13,33,146,0
libbitcoin-client,Bitcoin Client Query Library,65,207,638,0
libbitcoin-consensus,Bitcoin Consensus Library (optional),13,36,145,0
libbitcoin-database,Bitcoin High Performance Blockchain Database,16,37,155,0
libbitcoin-explorer,Bitcoin command-line tool,58,185,568,0
libbitcoin-network,Bitcoin P2P Network Library,45,115,387,0
libbitcoin-node,Bitcoin Full Node,12,31,141,0
libbitcoin-protocol,Bitcoin Blockchain Query Protocol,78,250,790,0
libbitcoin-server,Bitcoin Full Node and Query Server,11,39,120,0
libbladerf,USB 3.0 Superspeed Software Defined Radio Source,55,130,438,0
libbluray,Blu-Ray disc playback library for media players like VLC,72131,257368,925812,0
libbpg,Image format meant to improve on JPEG quality and file size,13,37,224,0
libbs2b,Bauer stereophonic-to-binaural DSP,182,500,2028,0
libbsd,Utility functions from BSD systems,0,0,0,0
libbtbb,Bluetooth baseband decoding library,88,279,1204,0
libcaca,Convert pixel information into colored ASCII art,2461,14319,26682,0
libcanberra,Implementation of XDG Sound Theme and Name Specifications,133,307,1196,0
libcap,User-space interfaces to POSIX 1003.1e capabilities,0,0,0,0
libcap-ng,Library for Linux that makes using posix capabilities easy,0,0,0,0
libcapn,C library to send push notifications to Apple devices,9,25,196,0
libcbor,CBOR protocol implementation for C and others,3783,12672,75563,0
libccd,Collision detection between two convex shapes,1399,3256,9954,0
libcddb,CDDB server access library,4,21,59,0
libcdio,Compact Disc Input and Control Library,22,69,263,0
libcdr,C++ library to parse the file format of CorelDRAW documents,9,25,238,0
libcds,C++ library of Concurrent Data Structures,4,26,63,0
libcec,Control devices with TV remote control and HDMI cabling,30,105,525,0
libcello,Higher-level programming in C,4,9,39,0
libcerf,Numeric library for complex error functions,11035,37283,138408,0
libchamplain,ClutterActor for displaying maps,19,36,88,0
libchaos,"Advanced library for randomization, hashing and statistical analysis",2,5,19,0
libchewing,Intelligent phonetic input method library,5,10,38,0
libcmph,C minimal perfect hashing library,6,17,75,0
libcoap,Lightweight application-protocol for resource-constrained devices,18,76,352,0
libconfig,Configuration file processing library,434,1121,5825,0
libcouchbase,C library for Couchbase,488,1510,6874,0
libcouchbase@2,C library for Couchbase,145,381,1503,0
libcpuid,Small C library for x86 CPU detection and feature extraction,14,31,119,0
libcroco,CSS parsing and manipulation toolkit for GNOME,1107,4004,43311,0
libcsv,CSV library in ANSI C89,13,43,131,0
libcue,Cue sheet parser library for C,359,957,4212,0
libcuefile,Library to work with CUE files,1925,5773,21784,0
libdaemon,C library that eases writing UNIX daemons,83,207,935,0
libdap,Framework for scientific data networking,14210,35313,117900,0
libdazzle,GNOME companion library to GObject and Gtk+,226,643,4011,0
libdbi,"Database-independent abstraction layer in C, similar to DBI/DBD in Perl",21,61,169,0
libdc1394,Provides API for IEEE 1394 cameras,36,98,498,0
libdca,Library for decoding DTS Coherent Acoustics streams,9,26,274,0
libde265,Open h.265 video codec implementation,59253,209356,794448,0
libdeflate,Heavily optimized DEFLATE/zlib/gzip compression and decompression,15,54,153,0
libdill,Structured concurrency in C,5,14,45,0
libdiscid,C library for creating MusicBrainz and freedb disc IDs,79,371,532,0
libdivecomputer,Library for communication with various dive computers,4,9,28,0
libdmtx,Data Matrix library,132,320,1018,0
libdmx,X.Org: X Window System DMX (Distributed Multihead X) extension library,9,12,32,0
libdnet,Portable low-level networking library,855,2906,13757,0
libdrawtext,Library for anti-aliased text rendering in OpenGL,5,16,88,0
libdrm,Library for accessing the direct rendering manager,0,0,0,0
libdshconfig,Distributed shell library,35,78,355,0
libdsk,Library for accessing discs and disc image files,18,50,121,0
libdv,Codec for DV video encoding format,47,365,1023,0
libdvbpsi,Library to decode/generate MPEG TS and DVB PSI tables,6,16,52,0
libdvdcss,Access DVDs as block devices without the decryption,1740,5648,23852,0
libdvdnav,DVD navigation library,37,114,992,0
libdvdread,C library for reading DVD-video images,165,499,3358,0
libebml,Sort of a sbinary version of XML,2300,6291,19440,0
libebur128,Library implementing the EBU R128 loudness standard,49,70,169,0
libedit,BSD-style licensed readline alternative,258,796,3219,0
libelf,ELF object file access library,1679,4817,18560,0
libepoxy,Library for handling OpenGL function pointer management,20569,60298,191089,0
liberasurecode,Erasure Code API library written in C with pluggable backends,0,22,90,0
libestr,C library for string handling (and a bit more),105,281,1375,0
libetonyek,Interpret and import Apple Keynote presentations,5,18,49,0
libetpan,Portable mail library handling several protocols,38,104,291,0
libev,Asynchronous event library,188156,579124,1028709,0
libevent,Asynchronous event library,141572,455948,2107617,0
libevhtp,Create extremely-fast and secure embedded HTTP servers with ease,6,11,52,0
libewf,Library for support of the Expert Witness Compression Format,1013,5425,15245,0
libexif,EXIF parsing library,3769,9712,43433,0
libexosip,Toolkit for eXosip2,6,17,97,0
libextractor,Library to extract meta data from files,75,120,388,0
libfabric,OpenFabrics libfabric,43,135,509,0
libfaketime,Report faked system time to programs,66,203,933,0
libffcall,GNU Foreign Function Interface library,8,17,59,0
libffi,Portable Foreign Function Interface library,404198,862198,2793010,0
libfido2,"Provides library functionality for FIDO U2F & FIDO 2.0, including USB",6440,20711,97344,0
libfishsound,Decode and encode audio data using the Xiph.org codecs,3,8,39,0
libfixbuf,Implements the IPFIX Protocol as a C library,82,164,534,0
libfixposix,Thin wrapper over POSIX syscalls,21,54,179,0
libflowmanager,Flow-based measurement tasks with packet-based inputs,6,12,55,0
libfontenc,X.Org: Font encoding library,13,29,46,0
libforensic1394,"Live memory forensics over IEEE 1394 (""FireWire"") interface",6,11,47,0
libfreefare,API for MIFARE card manipulations,11,36,174,0
libfreehand,Interpret and import Aldus/Macromedia/Adobe FreeHand documents,7,18,104,0
libfreenect,Drivers and libraries for the Xbox Kinect device,112,430,1694,0
libfs,X.Org: X Font Service client library,3,8,23,0
libftdi,Library to talk to FTDI chips,1098,3122,13230,0
libftdi0,Library to talk to FTDI chips,1549,4551,17596,0
libfuse,Reference implementation of the Linux FUSE interface,2,2,0,0
libgadu,Library for ICQ instant messenger protocol,3,5,23,0
libgaiagraphics,Library supporting common-utility raster handling,75,247,896,0
libgccjit,JIT library for the GNU compiler collection,501,1241,1556,0
libgcrypt,Cryptographic library based on the code from GnuPG,128488,299902,807881,0
libgda,Provides unified data access to the GNOME project,308,1038,2435,0
libgdata,GLib-based library for accessing online service APIs,26,45,91,0
libgee,Collection library providing GObject-based interfaces,485,1323,6229,0
libgeotiff,Library and tools for dealing with GeoTIFF,6492,20846,101188,0
libgetdata,Reference implementation of the Dirfile Standards,5,8,53,0
libgfshare,Library for sharing secrets,6,12,62,0
libghthash,Generic hash table for C++,2,4,18,0
libgig,Library for Gigasampler and DLS (Downloadable Sounds) Level 1/2 files,50,169,225,0
libgit2,C library of Git core methods that is re-entrant and linkable,3963,12798,37241,0
libgit2-glib,Glib wrapper library around libgit2 git access library,308,1155,3698,0
libglade,RAD tool to help build GTK+ interfaces,127,384,1581,0
libglademm,C++ wrapper around libglade,40,128,184,0
libgnomecanvas,"Highlevel, structured graphics library",163,459,985,0
libgnomecanvasmm,C++ wrapper for libgnomecanvas,31,93,130,0
libgnt,NCurses toolkit for creating text-mode graphical user interfaces,625,1098,3179,0
libgosu,2D game development library,15,30,111,0
libgpg-error,Common error values for all GnuPG components,94733,277860,990378,0
libgphoto2,Gphoto2 digital camera library,715,2585,14763,0
libgr,GR framework: a graphics library for visualisation applications,36,102,367,0
libgraphqlparser,GraphQL query parser in C++ with C and C++ APIs,12,44,204,0
libgsf,I/O abstraction library for dealing with structured file formats,2744,6231,28624,0
libgsm,Lossy speech compression library,157,474,2977,0
libgtop,Library for portably obtaining information about processes,8,16,96,0
libgusb,GObject wrappers for libusb1,51,162,619,0
libgweather,"GNOME library for weather, locations and timezones",19,24,124,0
libgxps,GObject based library for handling and rendering XPS documents,305,977,3954,0
libhandy,Building blocks for modern adaptive GNOME apps,21,53,86,0
libharu,Library for generating PDF files,74,180,849,0
libhdhomerun,C library for controlling SiliconDust HDHomeRun TV tuners,27,60,234,0
libheif,ISO/IEC 23008-12:2017 HEIF file format decoder and encoder,106886,278144,964808,0
libhid,Library to access and interact with USB HID devices,1387,4019,15498,0
libhttpserver,C++ library of embedded Rest HTTP server,16,64,153,0
libhttpseverywhere,Bring HTTPSEverywhere to desktop apps,19,40,103,0
libical,Implementation of iCalendar protocols and data formats,286,414,1781,0
libice,X.Org: Inter-Client Exchange Library,2998,9977,12218,0
libicns,Library for manipulation of the macOS .icns resource format,70,234,1032,0
libiconv,Conversion library,4345,13304,63793,0
libid3tag,ID3 tag manipulation library,439,1375,5506,0
libident,Ident protocol library,15,47,160,0
libidl,Library for creating CORBA IDL files,22,91,443,0
libidn,International domain name library,8029,30857,404085,0
libidn2,"International domain name library (IDNA2008, Punycode and TR46)",177912,519201,1962181,0
libilbc,Packaged version of iLBC codec from the WebRTC project,36,110,216,0
libimagequant,Palette quantization library extracted from pnquant2,4677,11168,26728,0
libimobiledevice,Library to communicate with iOS devices natively,8231,26516,121785,0
libinfinity,GObject-based C implementation of the Infinote protocol,0,1,49,0
libiodbc,Database connectivity layer based on ODBC. (alternative to unixodbc),322,901,3060,0
libiptcdata,Virtual package provided by libiptcdata0,28,53,165,0
libirecovery,Library and utility to talk to iBoot/iBSS via USB,160,432,763,0
libiscsi,Client library and utilities for iscsi,1469,4766,11089,0
libjson-rpc-cpp,C++ framework for json-rpc,398,1197,4860,0
libjwt,JSON Web Token C library,50,185,527,0
libkate,Overlay codec for multiplexed audio/video in Ogg,58,141,491,0
libkeccak,Keccak-family hashing library,56,155,542,0
libkml,"Library to parse, generate and operate on KML",16,37,213,0
libksba,X.509 and CMS library,64027,229765,646397,0
liblas,C/C++ library for reading and writing the LAS LiDAR format,77,299,1367,0
liblcf,Library for RPG Maker 2000/2003 games data,12,38,217,0
liblinear,Library for large linear classification,18,54,259,0
liblo,Lightweight Open Sound Control implementation,206,652,2633,0
liblockfile,Library providing functions to lock standard mailboxes,4,8,55,0
liblouis,Open-source braille translator and back-translator,4,27,99,0
liblqr,C/C++ seam carving library,40504,123705,441508,0
libltc,POSIX-C Library for handling Linear/Logitudinal Time Code (LTC),14,33,110,0
liblunar,Lunar date calendar,2,4,23,0
liblwgeom,Allows SpatiaLite to support ST_MakeValid() like PostGIS,536,2156,12333,0
liblzf,"Very small, very fast data compression library",7,33,97,0
libmaa,"Low-level data structures including hash tables, sets, lists",70,246,1489,0
libmagic,Implementation of the file(1) command,7922,23530,113594,0
libmatio,C library for reading and writing MATLAB MAT files,2937,8462,27965,0
libmatroska,"Extensible, open standard container format for audio/video",1126,3605,18318,0
libmaxminddb,C library for the MaxMind DB file format,9714,24201,73278,0
libmd,BSD Message Digest library,1,1,0,0
libmemcached,C and C++ client library to the memcached server,1108,3198,14379,0
libmetalink,C library to parse Metalink XML files,45709,130833,333228,0
libmicrohttpd,Light HTTP/1.1 server library,2123,5244,16758,0
libmikmod,Portable sound library,985,2687,21263,0
libmill,Go-style concurrency in C,0,0,19,0
libming,C library for generating Macromedia Flash files,4,6,31,0
libmms,Library for parsing mms:// and mmsh:// network streams,1623,4583,18246,0
libmnl,Minimalistic user-space library oriented to Netlink developers,0,0,0,0
libmodbus,Portable modbus library,32,92,315,0
libmodplug,Library from the Modplug-XMMS project,1867,5087,22584,0
libmonome,"Interact with monome devices via C, Python, or FFI",11,55,108,0
libmowgli,Core framework for Atheme applications,2,4,15,0
libmp3splt,"Utility library to split mp3, ogg, and FLAC files",66,237,1092,0
libmpc,C library for the arithmetic of high precision complex numbers,78354,258287,875354,0
libmpd,Higher level access to MPD functions,2,8,44,0
libmpdclient,"Library for MPD in the C, C++, and Objective-C languages",395,1319,9543,0
libmpeg2,Library to decode mpeg-2 and mpeg-1 video streams,99,233,719,0
libmrss,C library for RSS files or streams,12,38,137,0
libmspub,Interpret and import Microsoft Publisher content,4,19,123,0
libmtp,Implementation of Microsoft's Media Transfer Protocol (MTP),119,394,2088,0
libmusicbrainz,MusicBrainz Client Library,11,46,188,0
libmwaw,Library for converting legacy Mac document formats,1,9,63,0
libmxml,Mini-XML library,26,73,320,0
libmypaint,MyPaint brush engine library,43,116,446,0
libnatpmp,NAT port mapping protocol library,387,480,517,0
libnet,C library for creating IP packets,5432,14204,66648,0
libnetfilter-queue,Userspace API to packets queued by the kernel packet filter,0,0,0,0
libnetworkit,NetworKit is an OS-toolkit for large-scale network analysis,53,98,226,0
libnfc,Low level NFC SDK and Programmers API,175,575,2481,0
libnfnetlink,Low-level library for netfilter related communication,0,0,0,0
libnfs,C client library for NFS,193,563,2222,0
libngspice,Spice circuit simulator as shared library,50,123,409,0
libnice,GLib ICE implementation,2850,10011,35288,0
libnids,Implements E-component of network intrusion detection system,52,135,930,0
libnotify,Library that sends desktop notifications to a notification daemon,392,1109,5737,0
libnova,"Celestial mechanics, astrometry and astrodynamics library",8,19,75,0
libnsl,Public client interface for NIS(YP) and NIS+,0,0,0,0
libntlm,Implements Microsoft's NTLM authentication,13,32,171,0
libnxml,"C library for parsing, writing, and creating XML files",16,46,158,0
liboauth,C library for the OAuth Core RFC 5849 standard,44,103,307,0
libodfgen,ODF export library for projects using librevenge,19,35,62,0
libofx,Library to support OFX command responses,385,748,1999,0
libogg,Ogg Bitstream Library,53302,161720,703243,0
liboil,C library of simple functions optimized for various CPUs,4,6,19,0
libolm,Implementation of the Double Ratchet cryptographic ratchet,116,236,479,0
libomp,LLVM's OpenMP runtime library,122724,266869,989428,0
libopendkim,Implementation of Domain Keys Identified Mail authentication,1,9,166,0
libopenmpt,Software library to decode tracked music files,408,1184,3464,0
libopennet,Provides open_net() (similar to open()),1,2,9,0
liboping,C library to generate ICMP echo requests,15,52,151,0
libopusenc,Convenience libraray for creating .opus files,101,296,1279,0
liboqs,Library for quantum-safe cryptography,2,9,27,0
libosinfo,Operating System information database,1623,3590,16772,0
libosip,Implementation of the eXosip2 stack,7,29,102,0
libosmium,Fast and flexible C++ library for working with OpenStreetMap data,41,107,397,0
libotr,Off-The-Record (OTR) messaging library,378,804,3324,0
libowfat,Reimplements libdjb,5,23,102,0
libp11,PKCS#11 wrapper library in C,217,793,20736,0
libpagemaker,Imports file format of Aldus/Adobe PageMaker documents,2,9,39,0
libpano,Build panoramic images from a set of overlapping images,9,38,111,0
libpcap,Portable library for network traffic capture,4928,13661,38823,0
libpciaccess,Generic PCI access library,0,0,0,0
libpcl,C library and API for coroutines,8,32,100,0
libpeas,GObject plugin library,1944,6287,30441,0
libpgm,Implements the PGM reliable multicast protocol,35,96,387,0
libphonenumber,C++ Phone Number library by Google,105,252,1015,0
libpinyin,Library to deal with pinyin,2,26,29,0
libplctag,Portable and simple API for accessing AB PLC data over Ethernet,9,19,62,0
libplist,Library for Apple Binary- and XML-Property Lists,13102,42273,236843,0
libpng,Library for manipulating PNG images,137227,392532,1579669,0
libpointing,Provides direct access to HID pointing devices,3,7,21,0
libpoker-eval,C library to evaluate poker hands,2,8,23,0
libpq,Postgres C API library,70708,245991,980941,0
libpqxx,C++ connector for PostgreSQL,1373,3679,9325,0
libpqxx@6,C++ connector for PostgreSQL,30,129,473,0
libprelude,Universal Security Information & Event Management (SIEM) system,21,21,21,0
libprotoident,Performs application layer protocol identification for flows,4,9,35,0
libproxy,Library that provides automatic proxy configuration management,75,291,719,0
libpsl,C library for the Public Suffix List,6214,21462,93947,0
libpst,Utilities for the PST file format,44,138,880,0
libpthread-stubs,X.Org: pthread-stubs.pc,9997,32916,40817,0
libpulsar,Apache Pulsar C++ library,192,659,2334,0
libpuzzle,Library to find visually similar images,0,0,16,0
libqalculate,Library for Qalculate! program,100,509,1817,0
libquantum,C library for the simulation of quantum mechanics,3,7,31,0
libquicktime,Library for reading and writing quicktime files,26,61,283,0
libquvi,C library to parse flash media stream properties,536,893,1990,0
libraqm,Library for complex text layout,43,148,335,0
librasterlite,Library to store and retrieve huge raster coverages,48,156,449,0
libraw,Library for reading RAW files from digital photo cameras,360,1311,5576,0
librcsc,RoboCup Soccer Simulator library,1,5,21,0
librdkafka,Apache Kafka C/C++ library,8999,24290,78191,0
libre,Toolkit library for asynchronous network I/O with protocol stacks,36,97,398,0
libreadline-java,Port of GNU readline for Java,39,169,336,0
librealsense,Intel RealSense D400 series and SR300 capture,143,458,1836,0
librem,Toolkit library for real-time audio and video processing,29,66,254,0
libreplaygain,Library to implement ReplayGain standard for audio,1920,5766,21753,0
libresample,Audio resampling C library,6,20,65,0
libressl,Version of the SSL/TLS protocol forked from OpenSSL,2037,8096,42276,0
librest,Library to access RESTful web services,42,72,191,0
librevenge,Base library for writing document import filters,22,102,418,0
librsvg,Library to render SVG files using Cairo,89788,207441,485553,0
librsync,Library that implements the rsync remote-delta algorithm,247,739,5488,0
librtlsdr,Use Realtek DVB-T dongles as a cheap SDR,354,1264,4748,0
librttopo,RT Topology Library,11900,40926,40926,0
libsamplerate,Library for sample rate conversion of audio data,42969,130980,541141,0
libsass,C implementation of a Sass compiler,496,1465,7960,0
libsbol,Read and write files in the Synthetic Biology Open Language (SBOL),2,4,13,0
libscrypt,Library for scrypt,1961,5798,23342,0
libseccomp,Interface to the Linux Kernel's syscall filtering mechanism,0,0,0,0
libsecret,Library for storing/retrieving passwords and other secrets,603,2095,10511,0
libserdes,Schema ser/deserializer lib for Avro + Confluent Schema Registry,2868,9528,32266,0
libserialport,Cross-platform serial port C library,18,77,229,0
libshout,Data and connectivity library for the icecast server,5211,14960,40334,0
libsigc++,Callback framework for C++,2456,10296,24956,0
libsigc++@2,Callback framework for C++,2931,12632,41378,0
libsignal-protocol-c,Signal Protocol C Library,99,282,1661,0
libsigsegv,Library for handling page faults in user mode,1709,2532,5929,0
libsixel,SIXEL encoder/decoder implementation,21,89,440,0
libslax,Implementation of the SLAX language (an XSLT alternative),5,10,29,0
libslirp,General purpose TCP-IP emulator,90,263,306,0
libsm,X.Org: X Session Management Library,2986,9948,12182,0
libsmf,C library for handling SMF ('*.mid') files,5,16,39,0
libsmi,Library to Access SMI MIB Information,2757,7782,28264,0
libsndfile,C library for files containing sampled sound,139693,382073,1136474,0
libsodium,NaCl networking and cryptography library,121124,254798,529333,0
libsoundio,Cross-platform audio input and output,62,220,407,0
libsoup,HTTP client/server library for GNOME,5373,17628,96091,0
libsoxr,"High quality, one-dimensional sample-rate conversion library",43543,131872,541014,0
libspatialite,Adds spatial SQL capabilities to SQLite,12683,43689,113967,0
libspectre,Small library for rendering Postscript documents,450,1474,8184,0
libspectrum,Support library for ZX Spectrum emulator,29,83,316,0
libspiro,Library to simplify the drawing of curves,1610,5187,28877,0
libspnav,Client library for connecting to 3Dconnexion's 3D input devices,9,25,61,0
libspng,C library for reading and writing PNG format files,4249,7792,17887,0
libsquish,Library for compressing images with the DXT standard,2,10,68,0
libssh,C library SSHv1/SSHv2 client and server protocols,25571,69698,226145,0
libssh2,C library implementing the SSH2 protocol,61633,173926,535201,0
libstatgrab,Provides cross-platform access to statistics about the system,0,9,46,0
libstfl,Library implementing a curses-based widget set for terminals,619,2280,7685,0
libstrophe,XMPP library for C,172,559,1487,0
libstxxl,C++ implementation of STL for extra large data sets,23,58,341,0
libsvg,Library for SVG files,189,526,2946,0
libsvg-cairo,SVG rendering library using Cairo,107,330,1509,0
libsvm,Library for support vector machines,42,165,1270,0
libswiften,C++ library for implementing XMPP applications,1,7,36,0
libswiftnav,C library implementing GNSS related functions and algorithms,1,1,13,0
libtar,C library for manipulating POSIX tar files,245,800,3622,0
libtasn1,ASN.1 structure parser library,135403,333490,1435239,0
libtcod,API for roguelike developers,7,40,284,0
libtecla,Command-line editing facilities similar to the tcsh shell,22,108,291,0
libtensorflow,C interface for Google's OS library for Machine Intelligence,1405,3707,11906,0
libtensorflow@1,C interface for Google's OS library for Machine Intelligence,25,51,220,0
libtermkey,Library for processing keyboard entry from the terminal,8382,24402,92452,0
libtextcat,N-gram-based text categorization library,2,10,56,0
libtiff,TIFF library and utilities,260933,940613,2220167,0
libtins,C++ network packet sniffing and crafting library,35,129,550,0
libtirpc,Port of Sun's Transport-Independent RPC library to Linux,0,0,0,0
libtomcrypt,"Comprehensive, modular and portable cryptographic toolkit",36,91,454,0
libtommath,C library for number theoretic multiple-precision integers,97,239,1617,0
libtool,Generic library support script,198762,599253,2153800,0
libtorch,Tensors and dynamic neural networks,112,556,1773,0
libtorrent-rakshasa,BitTorrent library with a focus on high performance,181,554,1685,0
libtorrent-rasterbar,C++ bittorrent library with Python bindings,311,1183,7122,0
libtrace,Library for trace processing supporting multiple inputs,13,48,292,0
libtrng,Tina's Random Number Generator Library,1,5,47,0
libu2f-host,Host-side of the Universal 2nd Factor (U2F) protocol,254,703,2488,0
libu2f-server,Server-side of the Universal 2nd Factor (U2F) protocol,19,68,364,0
libucl,Universal configuration library parser,0,1,32,0
libuecc,Very small Elliptic Curve Cryptography library,2,9,57,0
libuninameslist,Library of Unicode names and annotation data,1550,4971,32767,0
libunistring,C string library for manipulating Unicode strings,160239,457380,1576465,0
libunwind-headers,C API for determining the call-chain of a program,140,295,879,0
libupnp,Portable UPnP development kit,224,695,4996,0
libusb,Library for USB device access,89879,271793,755566,0
libusb-compat,Library for USB device access,3606,10347,41536,0
libusbmuxd,USB multiplexor library for iOS devices,11738,38462,220080,0
libusrsctp,Portable SCTP userland stack,5491,10483,25564,0
libuv,Multi-platform support library with a focus on asynchronous I/O,16567,52497,328860,0
libuvc,Cross-platform library for USB video devices,140,355,1135,0
libva,Hardware accelerated video processing library,0,0,0,0
libvbucket,Utility library providing mapping to virtual buckets,0,2,12,0
libvdpau,Open source Video Decode and Presentation API library,8,22,22,0
libvidstab,Transcode video stabilization plugin,45328,138885,596063,0
libvirt,C virtualization API,3980,10788,43529,0
libvirt-glib,Libvirt API for glib-based programs,985,3401,14952,0
libvisio,Interpret and import Visio diagrams,12,54,286,0
libvmaf,Perceptual video quality assessment based on multi-method fusion,198,585,3333,0
libvnc,Cross-platform C libraries for easy implementation of VNC server or client,8,35,42,0
libvncserver,VNC server and client libraries,194,639,3084,0
libvo-aacenc,VisualOn AAC encoder library,124,414,1731,0
libvoikko,Linguistic software and Finnish dictionary,27,134,780,0
libvorbis,Vorbis General Audio Compression Codec,64194,203337,899922,0
libvpx,VP8/VP9 video codec,58756,190244,861671,0
libvterm,C99 library which implements a VT220 or xterm terminal emulator,10626,33180,147629,0
libwandevent,API for developing event-driven programs,0,5,22,0
libwbxml,Library and tools to parse and encode WBXML documents,16,36,138,0
libwebm,WebM container,8,17,101,0
libwebsockets,C websockets server library,3831,13193,55812,0
libwmf,Library for converting WMF (Window Metafile Format) files,28,86,423,0
libwpd,General purpose library for reading WordPerfect files,16,78,344,0
libwpg,Library for reading and parsing Word Perfect Graphics format,8,24,85,0
libwps,Library to import files in MS Works format,2,18,111,0
libx11,X.Org: Core X11 protocol client library,10468,40413,48313,0
libxau,X.Org: A Sample Authorization Protocol for X,9972,32819,40683,0
libxaw,X.Org: X Athena Widget Set,756,2254,2724,0
libxaw3d,X.Org: 3D Athena widget set based on the Xt library,59,79,101,0
libxc,Library of exchange and correlation functionals for codes,110,287,1172,0
libxcb,X.Org: Interface to the X Window System protocol,17791,41001,50385,0
libxcomposite,X.Org: Client library for the Composite extension,10,19,40,0
libxcursor,X.Org: X Window System Cursor management library,1817,6546,7410,0
libxdamage,X.Org: X Damage Extension library,1608,5416,6422,0
libxdg-basedir,C implementation of the XDG Base Directory specifications,29,89,199,0
libxdiff,Implements diff functions for binary and text files,7,33,148,0
libxdmcp,X.Org: X Display Manager Control Protocol library,9963,32806,40663,0
libxext,X.Org: Library for common extensions to the X11 protocol,8227,29245,36758,0
libxfixes,X.Org: Header files for the XFIXES extension,3521,12108,14136,0
libxfont,X.Org: Core of the legacy X11 font system,8,19,33,0
libxft,X.Org: X FreeType library,1730,6086,7592,0
libxi,X.Org: Library for the X Input Extension,2850,9811,11474,0
libxinerama,X.Org: API for Xinerama extension to X11 Protocol,2190,7556,9131,0
libxkbcommon,Keyboard handling library,522,2059,5381,0
libxkbfile,X.Org: XKB file handling routines,13,25,45,0
libxlsxwriter,C library for creating Excel XLSX files,18,66,355,0
libxmi,C/C++ function library for rasterizing 2D vector graphics,2,6,20,0
libxml2,GNOME XML library,44743,151904,637770,0
libxml++,C++ wrapper for libxml,866,1877,3898,0
libxml++3,C++ wrapper for libxml,105,251,633,0
libxml++@4,C++ wrapper for libxml,1,4,4,0
libxml++@5,C++ wrapper for libxml,6,8,8,0
libxmlsec1,XML security library,3457,11351,38917,0
libxmp,"C library for playback of module music (MOD, S3M, IT, etc)",23,79,312,0
libxmp-lite,Lite libxmp,0,2,8,0
libxmu,X.Org: X miscellaneous utility routines library,2660,8639,10510,0
libxo,"Allows an application to generate text, XML, JSON, and HTML output",1,3,27,0
libxp,X Print Client Library,923,3315,4169,0
libxpm,X.Org: X Pixmap (XPM) image file format library,1391,4350,5161,0
libxrandr,"X.Org: X Resize, Rotate and Reflection extension library",3053,10610,12293,0
libxrender,X.Org: Library for the Render Extension to the X11 protocol,4536,15617,18630,0
libxres,X.Org: X-Resource extension client library,6,10,26,0
libxscrnsaver,X.Org: X11 Screen Saver extension client library,9,14,36,0
libxshmfence,X.Org: Shared memory 'SyncFence' synchronization primitive,1,4,15,0
libxslt,C XSLT library for GNOME,6130,16727,46492,0
libxspf,C++ library for XSPF playlist reading and writing,2,4,17,0
libxt,X.Org: X Toolkit Intrinsics library,5467,12386,14595,0
libxtst,X.Org: Client API for the XTEST & RECORD extensions,342,1091,1355,0
libxv,X.Org: X Video (Xv) extension,1123,3967,4547,0
libxvmc,X.Org: X-Video Motion Compensation API,7,9,25,0
libxxf86dga,X.Org: XFree86-DGA X extension,6,9,25,0
libxxf86vm,X.Org: XFree86-VidMode X extension,1235,4106,4954,0
libyaml,YAML Parser,89020,267473,1338512,0
libyubikey,C library for manipulating Yubico one-time passwords,940,2529,9456,0
libzdb,Database connection pool library,39,79,294,0
